response_id,source_label,role,frequency,experience,device,network,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,submitted_at
R039,dummy,Mahasiswa,>5x,Tinggi,Mobile,WiFi,4,3,4,1,5,1,4,2,3,1,2026-05-01 19:03:00
R040,dummy,Mahasiswa,1-2x,Rendah,Mobile,Data Seluler,5,1,5,1,4,2,3,1,3,3,2026-05-01 19:20:00
R041,dummy,Umum,1-2x,Sedang,Desktop,Data Seluler,3,1,3,2,4,2,4,3,4,2,2026-05-01 19:37:00
R042,dummy,Mahasiswa,3-5x,Sedang,Mobile,WiFi,4,2,4,1,3,3,3,3,5,1,2026-05-01 19:54:00
R043,dummy,Umum,3-5x,Tinggi,Desktop,WiFi,3,3,4,1,4,2,5,1,3,3,2026-05-01 20:11:00
R044,dummy,Mahasiswa,1-2x,Rendah,Desktop,Data Seluler,5,2,5,3,4,2,3,2,4,2,2026-05-01 20:28:00
R045,dummy,Mahasiswa,3-5x,Rendah,Desktop,Data Seluler,3,1,5,2,4,1,4,3,4,3,2026-05-01 20:45:00
R046,dummy,Mahasiswa,1-2x,Rendah,Desktop,Data Seluler,4,3,4,3,4,2,3,3,5,1,2026-05-01 21:02:00
R047,dummy,Mahasiswa,3-5x,Rendah,Desktop,Data Seluler,3,2,4,2,5,2,3,3,5,2,2026-05-01 21:19:00
R048,dummy,Umum,>5x,Tinggi,Desktop,WiFi,3,2,4,3,4,1,4,3,3,2,2026-05-01 21:36:00
R049,dummy,Mahasiswa,3-5x,Sedang,Mobile,Data Seluler,4,3,4,3,4,2,4,3,4,2,2026-05-01 21:53:00
R050,dummy,Pelajar,3-5x,Rendah,Desktop,WiFi,4,3,3,2,4,3,4,2,4,2,2026-05-01 22:10:00
R051,dummy,Umum,1-2x,Rendah,Mobile,WiFi,4,3,4,2,4,1,4,3,5,2,2026-05-01 22:27:00
R052,dummy,Umum,3-5x,Rendah,Desktop,Data Seluler,4,3,4,1,5,2,4,3,4,2,2026-05-01 22:44:00
R053,dummy,Umum,3-5x,Rendah,Desktop,Data Seluler,4,3,4,1,5,2,4,3,4,2,2026-05-01 23:01:00
R054,dummy,Umum,3-5x,Rendah,Desktop,Data Seluler,4,3,4,1,5,2,4,3,4,2,2026-05-01 23:18:00
